case_received_date,case_status,class_of_admission,country_of_citizenship,decision_date,employer_city,employer_country,employer_name,employer_state,foreign_worker_info_birth_country,job_info_education,pw_determ_date,pw_expire_date,pw_job_title_9089,Processing Day
19-07-2010,Denied,H-1B,PERU,31-08-2015,LITTLE ROCK,UNITED STATES OF AMERICA,LISA ACADEMY,ARKANSAS,PERU,Master's,16-06-2010,14-09-2010,"Secondary School Teachers, Except Special and Vocational",1869
31-05-2010,Denied,H-1B,INDIA,14-04-2015,SOUTH WINDSOR,UNITED STATES OF AMERICA,WEBILENT TECHNOLOGY INC.,CONNECTICUT,INDIA,Master's,04-01-2010,04-04-2010,"Computer Software Engineers, Systems Software",1779
01-03-2010,Denied,B-2,EL SALVADOR,31-08-2015,INGLEWOOD,UNITED STATES OF AMERICA,"NEW MACHINE WORLD USA, INC.",CALIFORNIA,EL SALVADOR,High School,22-07-2009,01-07-2010,Import Export Office Clerk,2009
10-03-2010,Denied,H-1B,INDIA,15-06-2015,ATLANTA,UNITED STATES OF AMERICA,"SOFTPROS, INC.",GEORGIA,INDIA,Bachelor's,14-09-2009,30-06-2010,Software Engineer,1923
27-07-2010,Denied,H-1B,MEXICO,27-05-2015,HOUSTON,UNITED STATES OF AMERICA,SPRING BRANCH INDEPENDENT SCHOOL DISTRICT,TEXAS,MEXICO,Bachelor's,17-12-2009,30-06-2010,"Elementary School Teachers, Except Special Education",1765
27-10-2010,Denied,H-1B,INDIA,21-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,15-07-2009,01-07-2010,Computer Systems Analysts,1637
03-05-2010,Denied,B-2,SOUTH KOREA,22-12-2014,LOS ANGELES,UNITED STATES OF AMERICA,"TUA FASHION, INC.",CALIFORNIA,SOUTH KOREA,High School,22-12-2009,01-07-2010,Patternmaker,1694
17-11-2014,Certified,H-1B,INDIA,28-05-2015,IRVING,UNITED STATES OF AMERICA,ABEAM CONSULTING (USA) LTD.,TEXAS,INDIA,Master's,25-08-2014,30-06-2015,"Software Developers, Systems Software",192
01-04-2010,Denied,H-1B,INDIA,08-07-2015,FREMONT,UNITED STATES OF AMERICA,DGN TECHNOLOGIES INC.,CALIFORNIA,INDIA,Master's,05-10-2009,01-07-2010,computer and information systems manager,1924
03-05-2010,Denied,H-1B,INDIA,08-07-2015,FREMONT,UNITED STATES OF AMERICA,DGN TECHNOLOGIES INC.,CALIFORNIA,INDIA,Master's,05-10-2009,01-07-2010,computer and information systems manager,1892
15-06-2011,Denied,H-1B,MEXICO,23-06-2015,BASKING RIDGE,UNITED STATES OF AMERICA,VERIZON BUSINESS NETWORK SERVICES INC.,NEW JERSEY,MEXICO,Bachelor's,02-02-2011,30-06-2011,1st-Line Supervisors/Mgrs of Ofc &Adm Sup Wkrs,1469
17-05-2010,Denied,H-1B,INDIA,18-03-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,15-07-2009,01-07-2010,Systems Analyst,1766
29-04-2010,Denied,H-1B,INDIA,08-07-2015,FREMONT,UNITED STATES OF AMERICA,DGN TECHNOLOGIES INC.,CALIFORNIA,INDIA,Master's,05-10-2009,01-07-2010,computer and information systems manager,1896
26-08-2010,Denied,H-1B,TURKEY,06-03-2015,BROOKLYN,UNITED STATES OF AMERICA,VINTAGE FOOD CORPORATION,NEW YORK,TURKEY,Bachelor's,30-04-2010,29-07-2010,"Treasurers, Controllers, and Chief Financial Officers",1653
07-05-2010,Denied,H-1B,INDIA,08-07-2015,FREMONT,UNITED STATES OF AMERICA,DGN TECHNOLOGIES INC.,CALIFORNIA,INDIA,Master's,05-10-2009,01-07-2010,computer and information systems manager,1888
30-06-2010,Denied,H-1B,PHILIPPINES,28-05-2015,PRESIDIO,UNITED STATES OF AMERICA,PRESIDIO INDEPENDENT SCHOOL DISTRICT,TEXAS,PHILIPPINES,Bachelor's,10-03-2010,01-07-2010,Elementary School Teacher,1793
01-07-2010,Denied,H-1B,AUSTRALIA,14-04-2015,SOUTH WINDSOR,UNITED STATES OF AMERICA,WEBILENT TECHNOLOGY INC.,CONNECTICUT,INDIA,Master's,04-01-2010,04-04-2010,"Computer Software Engineers, Systems Software",1748
26-10-2010,Denied,H-1B,INDIA,14-10-2014,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,15-07-2009,01-07-2010,Computer Systems Analysts,1449
29-10-2010,Denied,H-1B,INDIA,14-10-2014,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,15-07-2009,01-07-2010,Computer Systems Analysts,1446
08-03-2011,Denied,H-1B,INDIA,14-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1498
